Year,Round,HigherSeed,Score,HigherTeam,LowerTeam,Score,LowerSeed,Winner
2003,2,3,64,Xavier,Maryland,77,6,Maryland
2003,2,4,74,Stanford,Connecticut,85,5,Connecticut
2003,2,1,74,Oklahoma,California,65,8,Oklahoma
2003,2,2,62,Wake Forest,Auburn,68,10,Auburn
2003,2,3,68,Syracuse,Oklahoma St,56,6,Syracuse
2003,2,4,71,Louisville,Butler,79,12,Butler
2003,3,1,63,Kentucky,Wisconsin,57,5,Kentucky
2003,3,2,74,Pittsburgh,Marquette,77,3,Marquette
2003,3,1,88,Arizona,Notre Dame,71,5,Arizona
2003,3,2,69,Kansas,Duke,65,3,Kansas
2003,3,1,82,Texas,Connecticut,78,5,Texas
2003,3,7,60,Michigan St,Maryland,58,6,Michigan St
2003,3,1,65,Oklahoma,Butler,54,12,Oklahoma
2003,3,10,78,Auburn,Syracuse,79,3,Syracuse
2003,4,1,69,Kentucky,Marquette,83,3,Marquette
2003,4,1,75,Arizona,Kansas,78,2,Kansas
2003,4,1,85,Texas,Michigan St,76,7,Texas
2003,4,1,47,Oklahoma,Syracuse,63,3,Syracuse
2003,5,3,61,Marquette,Kansas,94,2,Kansas
2003,5,1,84,Texas,Syracuse,95,3,Syracuse
2003,6,2,78,Kansas,Syracuse,81,3,Syracuse
2004,1,1,96,Kentucky,Florida A&M,76,16,Kentucky
2004,1,2,76,Gonzaga,Valparaiso,49,15,Gonzaga
2004,1,3,65,Georgia Tech,Northern Iowa,60,14,Georgia Tech
2004,1,4,78,Kansas,Illinois Chicago,53,13,Kansas
2004,1,5,58,Providence,Pacific,66,12,Pacific
2004,1,6,58,Boston College,Utah,51,11,Boston College
2004,1,7,66,Michigan St,Nevada,72,10,Nevada
2004,1,8,100,Washington,UAB,102,9,UAB
2004,1,1,82,St Josephs,Liberty,63,16,St Josephs
2004,1,2,75,Oklahoma St,Eastern Washington,56,15,Oklahoma St
2004,1,3,53,Pittsburgh,Central Florida,44,14,Pittsburgh
2004,1,4,79,Wake Forest,VCU,78,13,Wake Forest
2004,1,5,60,Florida,Manhattan,75,12,Manhattan
2004,1,6,76,Wisconsin,Richmond,64,11,Wisconsin
2004,1,7,59,Memphis,South Carolina,43,10,Memphis
2004,1,8,76,Texas Tech,Charlotte,73,9,Texas Tech
2004,1,1,96,Duke,Alabama St,61,16,Duke
2004,1,2,85,Mississippi St,Monmouth,52,15,Mississippi St
2004,1,3,66,Texas,Princeton,49,14,Texas
2004,1,4,80,Cincinnati,East Tennessee St,77,13,Cincinnati
2004,1,5,72,Illinois,Murray St,53,12,Illinois
2004,1,6,63,North Carolina,Air Force,52,11,North Carolina
2004,1,7,80,Xavier,Louisville,70,10,Xavier
2004,1,8,80,Seton Hall,Arizona,76,9,Seton Hall
2004,1,1,71,Stanford,Texas San Antonio,45,16,Stanford
2004,1,2,70,Connecticut,Vermont,53,15,Connecticut
2004,1,3,61,NC State,Louisiana Lafayette,52,14,NC State
2004,1,4,86,Maryland,UTEP,83,13,Maryland
2004,1,5,80,Syracuse,BYU,75,12,Syracuse
2004,1,6,71,Vanderbilt,Western Michigan,58,11,Vanderbilt
2004,1,7,76,DePaul,Dayton,69,10,DePaul
2004,1,8,65,Alabama,Southern Illinois,64,9,Alabama
2004,2,1,75,Kentucky,UAB,76,9,UAB
2004,2,2,72,Gonzaga,Nevada,91,10,Nevada
2004,2,3,57,Georgia Tech,Boston College,54,6,Georgia Tech
2004,2,4,78,Kansas,Pacific,63,12,Kansas
2004,2,1,70,St Josephs,Texas Tech,65,8,St Josephs
2004,2,2,70,Oklahoma St,Memphis,53,7,Oklahoma St
2004,2,3,59,Pittsburgh,Wisconsin,55,6,Pittsburgh
2004,2,4,84,Wake Forest,Manhattan,80,12,Wake Forest
2004,2,1,90,Duke,Seton Hall,62,8,Duke
2004,2,2,74,Mississippi St,Xavier,89,7,Xavier
2004,2,3,78,Texas,North Carolina,75,6,Texas
2004,2,4,68,Cincinnati,Illinois,92,5,Illinois
2004,2,1,67,Stanford,Alabama,70,8,Alabama
2004,2,2,72,Connecticut,DePaul,55,7,Connecticut
2004,2,3,73,NC State,Vanderbilt,75,6,Vanderbilt
2004,2,4,70,Maryland,Syracuse,72,5,Syracuse
2004,3,9,74,UAB,Kansas,100,4,Kansas
2004,3,10,67,Nevada,Georgia Tech,72,3,Georgia Tech
2004,3,1,84,St Josephs,Wake Forest,80,4,St Josephs
2004,3,2,63,Oklahoma St,Pittsburgh,51,3,Oklahoma St
2004,3,1,72,Duke,Illinois,62,5,Duke
2004,3,7,79,Xavier,Texas,71,3,Xavier
2004,3,8,80,Alabama,Syracuse,71,5,Alabama
2004,3,2,73,Connecticut,Vanderbilt,53,6,Connecticut
2004,4,4,71,Kansas,Georgia Tech,79,3,Georgia Tech
2004,4,1,62,St Josephs,Oklahoma St,64,2,Oklahoma St
2004,4,1,66,Duke,Xavier,63,7,Duke
2004,4,8,71,Alabama,Connecticut,87,2,Connecticut
2004,5,3,67,Georgia Tech,Oklahoma St,65,2,Georgia Tech
2004,5,1,78,Duke,Connecticut,79,2,Connecticut
2004,6,3,73,Georgia Tech,Connecticut,82,2,Connecticut
2005,1,1,67,Illinois,Fairleigh Dickinson,55,16,Illinois
2005,1,2,63,Oklahoma St,Southeastern Louisiana,50,15,Oklahoma St
2005,1,3,66,Arizona,Utah St,53,14,Arizona
2005,1,4,85,Boston College,Pennsylvania,65,13,Boston College
2005,1,5,73,Alabama,Wisconsin Milwaukee,83,12,Wisconsin Milwaukee
2005,1,6,68,LSU,UAB,82,11,UAB
2005,1,7,65,Southern Illinois,St Marys,56,10,Southern Illinois
2005,1,8,57,Texas,Nevada,61,9,Nevada
2005,1,1,88,Washington,Montana,77,16,Washington
2005,1,2,70,Wake Forest,Chattanooga,54,15,Wake Forest
2005,1,3,74,Gonzaga,Winthrop,64,14,Gonzaga
2005,1,4,68,Louisville,Louisiana Lafayette,62,13,Louisville
2005,1,5,80,Georgia Tech,George Washington,68,12,Georgia Tech
2005,1,6,78,Texas Tech,UCLA,66,11,Texas Tech
2005,1,7,63,West Virginia,Creighton,61,10,West Virginia
2005,1,8,79,Pacific,Pittsburgh,71,9,Pacific
2005,1,1,96,North Carolina,Oakland,68,16,North Carolina
2005,1,2,77,Connecticut,Central Florida,71,15,Connecticut
2005,1,3,63,Kansas,Bucknell,64,14,Bucknell
2005,1,4,67,Florida,Ohio,62,13,Florida
2005,1,5,55,Villanova,New Mexico,47,12,Villanova
2005,1,6,57,Wisconsin,Northern Iowa,52,11,Wisconsin
2005,1,7,63,Charlotte,NC State,75,10,NC State
2005,1,8,53,Minnesota,Iowa St,64,9,Iowa St
2005,1,1,63,Duke,Delaware St,46,16,Duke
2005,1,2,72,Kentucky,Eastern Kentucky,64,15,Kentucky
2005,1,3,84,Oklahoma,Niagara,67,14,Oklahoma
2005,1,4,57,Syracuse,Vermont,60,13,Vermont
2005,1,5,89,Michigan St,Old Dominion,81,12,Michigan St
2005,1,6,60,Utah,UTEP,54,11,Utah
2005,1,7,76,Cincinnati,Iowa,64,10,Cincinnati
2005,1,8,70,Stanford,Mississippi St,93,9,Mississippi St
2005,2,1,71,Illinois,Nevada,59,9,Illinois
2005,2,2,85,Oklahoma St,Southern Illinois,77,7,Oklahoma St
2005,2,3,85,Arizona,UAB,63,11,Arizona
